lon,lat,dominant,total,n_red_kangaroo,n_eastern_grey_kangaroo,n_koala,n_emu,n_platypus
117.75,-26.75,emu,12,1,0,0,11,0
122.75,-31.25,emu,11,2,0,0,9,0
120.25,-26.75,emu,16,4,0,0,12,0
116.75,-28.25,emu,29,1,0,0,28,0
116.25,-28.75,emu,23,1,0,0,22,0
118.75,-25.75,emu,20,1,0,0,19,0
137.25,-19.75,red_kangaroo,126,126,0,0,0,0
136.75,-19.75,red_kangaroo,16,16,0,0,0,0
132.75,-24.25,red_kangaroo,272,248,0,0,24,0
137.25,-19.25,red_kangaroo,145,145,0,0,0,0
134.75,-22.75,red_kangaroo,161,161,0,0,0,0
135.75,-22.75,red_kangaroo,190,162,0,0,28,0
130.25,-22.25,red_kangaroo,18,14,0,0,4,0
135.75,-23.25,red_kangaroo,57,52,0,0,5,0
135.75,-18.75,red_kangaroo,82,81,0,0,1,0
131.25,-22.75,emu,52,23,0,0,29,0
131.75,-25.75,red_kangaroo,25,24,0,0,1,0
137.25,-18.75,red_kangaroo,88,88,0,0,0,0
133.75,-25.75,red_kangaroo,52,52,0,0,0,0
137.75,-21.75,red_kangaroo,95,92,0,0,3,0
136.25,-23.25,red_kangaroo,15,13,0,0,2,0
137.75,-19.25,red_kangaroo,208,207,0,0,1,0
134.25,-23.75,red_kangaroo,27,23,0,0,4,0
135.25,-24.75,emu,17,8,0,0,9,0
137.75,-18.75,red_kangaroo,38,38,0,0,0,0
137.25,-20.25,red_kangaroo,86,81,0,0,5,0
137.25,-22.75,red_kangaroo,46,40,0,0,6,0
135.75,-25.25,red_kangaroo,11,9,0,0,2,0
131.25,-18.75,red_kangaroo,32,16,0,0,16,0
135.75,-24.75,red_kangaroo,36,23,0,0,13,0
131.75,-22.75,red_kangaroo,20,16,0,0,4,0
136.25,-24.25,red_kangaroo,11,6,0,0,5,0
129.25,-21.75,red_kangaroo,13,10,0,0,3,0
