species,common_name,lat,lon,year,state_code
red_kangaroo,Red Kangaroo,-34.115,142.5419,2018,NSW
red_kangaroo,Red Kangaroo,-30.0764,130.0751,1984,SA
red_kangaroo,Red Kangaroo,-31.4885,138.6338,2019,SA
red_kangaroo,Red Kangaroo,-31.4146,138.71,2007,SA
red_kangaroo,Red Kangaroo,-30.375,135.7573,2008,SA
red_kangaroo,Red Kangaroo,-31.1248,138.9733,2013,SA
red_kangaroo,Red Kangaroo,-30.375,136.4281,2015,SA
red_kangaroo,Red Kangaroo,-28.0477,145.5639,2015,QLD
red_kangaroo,Red Kangaroo,-31.3801,137.06,1980,SA
red_kangaroo,Red Kangaroo,-26.6974,135.1713,1999,SA
red_kangaroo,Red Kangaroo,-31.2078,138.7427,2010,SA
red_kangaroo,Red Kangaroo,-31.9704,140.0729,2021,SA
red_kangaroo,Red Kangaroo,-34.202,142.5964,2022,NSW
red_kangaroo,Red Kangaroo,-33.5614,140.9114,2016,SA
red_kangaroo,Red Kangaroo,-31.7464,140.5814,2022,SA
